Irradiance,AmbientTemp,rload,cload,Inductor,Capacitor,k_sc,VoltageRipple_pp,VoltageRipple_rms,CurrentRipple_pp,CurrentRipple_rms,TimeDelay,Efficiency
1000,25,0.005,0.005,0.0007,4e-05,12,0.002311029,0.00067677,1.79920805,0.576600828,0.212852774,91.62322876
800,35,0.001,0.001,0.001,4e-05,16,0.001688256,0.000493288,1.277372871,0.402437196,0.143697039,92.08743451
900,40,0.002,0.005,0.0007,4e-05,12,0.002300886,0.000675457,1.795882172,0.575590081,0.212852774,91.9424475
700,35,0.005,0.002,0.0007,3e-05,32,0.002494987,0.000742707,1.950731753,0.594016066,0.158745588,92.48675798
800,25,0.002,0.002,0.001,3e-05,12,0.001644636,0.00047279,1.25536795,0.402137068,0.212852774,92.2450954
400,20,0.001,0.002,0.001,3e-05,16,0.001709479,0.000530324,1.382703435,0.438296534,0.374476293,93.8547475
500,20,0.005,0.002,0.001,3e-05,32,0.001825765,0.000543967,1.42905287,0.435691667,0.068000629,93.5028468
600,15,0.002,0.005,0.0007,4e-05,16,0.002305325,0.000698283,1.812944796,0.571733738,0.143697039,92.94244346
900,35,0.002,0.005,0.0007,4e-05,32,0.002529059,0.000746663,1.959797072,0.596950284,0.158745588,91.74349678
700,25,0.001,0.001,0.0007,3e-05,4,0.001442077,0.000482943,1.197663175,0.447573337,0.893443325,2.602101853
700,35,0.005,0.002,0.001,3e-05,4,0.001011095,0.000338485,0.839700977,0.313295194,0.893443325,1.800488179
500,15,0.005,0.002,0.001,4e-05,12,0.001597716,0.000468403,1.245026706,0.399110474,0.212852774,93.20204034
600,15,0.002,0.001,0.0007,4e-05,16,0.002453187,0.000760859,1.983608429,0.628676532,0.374476293,93.72667802
700,15,0.002,0.005,0.001,3e-05,12,0.001630984,0.000471309,1.25181383,0.401194158,0.212852774,92.55841877
1000,40,0.001,0.002,0.0007,4e-05,32,0.002543667,0.000748563,1.964698568,0.59827996,0.158745588,91.41427223
800,20,0.005,0.001,0.0007,3e-05,12,0.00229143,0.000674731,1.794779319,0.574565419,0.212852774,92.16631345
700,20,0.001,0.001,0.001,4e-05,2,0.001619779,0.000770108,1.283339168,0.641626126,0.813451123,89.27786776
700,20,0.002,0.002,0.001,4e-05,12,0.001631135,0.000471433,1.251971949,0.401219204,0.212852774,92.55703221
700,15,0.005,0.001,0.001,3e-05,2,0.00162006,0.000770253,1.283581694,0.641747237,0.813451123,89.20520023
600,25,0.002,0.002,0.0007,4e-05,8,0.002075529,0.000585435,1.678378855,0.551334613,0.353627144,91.79892985
700,15,0.002,0.002,0.0007,4e-05,12,0.002274958,0.000672524,1.788664298,0.573188453,0.212852774,92.53558274
1000,25,0.002,0.005,0.0007,4e-05,8,0.002077097,0.000586337,1.681711397,0.552266973,0.351402273,40.69790461
500,30,0.005,0.005,0.001,4e-05,16,0.00163198,0.000487717,1.265071159,0.3990131,0.143697039,93.31059803
700,20,0.005,0.005,0.001,4e-05,10,0.001581671,0.000448078,1.227256447,0.397529741,0.5724306,92.63208818
800,15,0.001,0.001,0.0007,3e-05,2,0.002289426,0.001101106,1.8355263,0.917699811,0.813451123,88.01455699
600,15,0.001,0.001,0.001,3e-05,2,0.001607716,0.000768544,1.280935493,0.640428223,0.813451123,89.37276044
600,25,0.005,0.005,0.001,4e-05,2,0.001613598,0.000771461,1.285802281,0.642861823,0.813451123,89.64030771
900,30,0.005,0.001,0.001,4e-05,12,0.001656052,0.000474216,1.258698908,0.402981554,0.212852774,91.89607113
700,40,0.001,0.002,0.0007,3e-05,4,0.001449666,0.000485301,1.203946847,0.449119483,0.893443325,2.692709344
500,25,0.002,0.001,0.001,3e-05,12,0.001599041,0.000468678,1.246061288,0.399171697,0.212852774,93.23879394
1000,25,0.002,0.001,0.001,4e-05,16,0.001713632,0.000496134,1.28369094,0.404271635,0.143697039,91.33831542
500,40,0.005,0.005,0.0007,3e-05,12,0.002238013,0.000668449,1.778780861,0.570145248,0.212852774,93.173799
900,25,0.002,0.001,0.001,3e-05,10,0.001604191,0.000450569,1.234026811,0.399133168,0.5724306,92.24449631
400,25,0.002,0.002,0.0007,4e-05,8,0.002047448,0.000582894,1.67126852,0.549122754,0.353627144,90.90008569
1000,25,0.001,0.001,0.001,4e-05,4,0.000979315,0.000328751,0.813413129,0.307032199,0.893443325,0.99190958
700,20,0.002,0.001,0.001,3e-05,32,0.001793368,0.00052086,1.365913042,0.415832773,0.158745588,92.50308412
700,40,0.001,0.005,0.001,4e-05,16,0.001670882,0.000491251,1.272584406,0.401326631,0.143697039,92.49588085
600,25,0.005,0.005,0.001,3e-05,16,0.001653016,0.000489574,1.269285925,0.40020859,0.143697039,92.85718336
400,15,0.001,0.005,0.0007,3e-05,4,0.001443951,0.000483412,1.199192011,0.447974372,0.893443325,35.1154412
500,15,0.001,0.005,0.001,3e-05,2,0.00159967,0.000769411,1.282593632,0.641260132,0.813451123,89.5570519
700,25,0.005,0.001,0.0007,4e-05,16,0.002327276,0.00070107,1.819888065,0.57342775,0.143697039,92.44775743
500,35,0.002,0.005,0.001,4e-05,10,0.001554133,0.000445664,1.221403093,0.39573236,0.5724306,93.13157636
600,25,0.002,0.002,0.0007,3e-05,16,0.00230662,0.00069821,1.814038729,0.571780292,0.145569106,92.94277321
500,35,0.001,0.001,0.001,3e-05,32,0.00182634,0.000544051,1.429366794,0.435719568,0.068000629,93.55243942
700,30,0.002,0.001,0.001,4e-05,10,0.001583425,0.00044849,1.228634479,0.397650277,0.5724306,92.66722131
700,15,0.005,0.005,0.001,3e-05,16,0.00167114,0.000491283,1.272924645,0.401323263,0.143697039,92.42084785
400,35,0.002,0.005,0.001,4e-05,32,0.001803395,0.00054215,1.424388964,0.434461807,0.068000629,93.88108454
600,20,0.005,0.001,0.0007,3e-05,10,0.002201245,0.000638497,1.751664259,0.566867535,0.5724306,92.73147878
800,40,0.002,0.005,0.0007,3e-05,10,0.00222571,0.000640867,1.757466384,0.569062782,0.5724306,92.35530288
600,40,0.001,0.002,0.001,4e-05,12,0.001615837,0.000469991,1.248658143,0.400219803,0.212852774,92.90733494
700,30,0.001,0.001,0.0007,4e-05,4,0.001441548,0.000482781,1.197221745,0.447381386,0.893443325,2.602606027
800,40,0.001,0.005,0.0007,4e-05,4,0.00144234,0.000482954,1.197890443,0.447627809,0.893443325,2.109864881
800,35,0.001,0.001,0.001,4e-05,10,0.001594497,0.00044957,1.231296291,0.398431756,0.5724306,92.46375334
1000,35,0.002,0.001,0.0007,4e-05,12,0.002314357,0.000677661,1.801871364,0.576797602,0.212852774,91.6762264
600,20,0.002,0.002,0.001,3e-05,32,0.001844658,0.0005456,1.432878151,0.436813304,0.068000629,93.20933081
400,15,0.001,0.005,0.001,4e-05,4,0.001011826,0.000338675,0.840286037,0.31337063,0.893443325,34.78464798
1000,35,0.001,0.002,0.001,3e-05,2,0.001658054,0.000778234,1.29634757,0.648107562,0.813451123,88.79685167
1000,15,0.001,0.001,0.0007,3e-05,16,0.00237445,0.000706961,1.834420315,0.577571026,0.143697039,91.38371875
400,20,0.005,0.001,0.001,3e-05,32,0.001804164,0.000542264,1.425129144,0.434482688,0.068000629,93.85286334
600,25,0.005,0.005,0.001,3e-05,2,0.001613967,0.000771646,1.286110377,0.643015864,0.813451123,89.64029812
700,15,0.002,0.005,0.001,3e-05,32,0.001792615,0.00052071,1.365233592,0.415797409,0.158745588,92.50178756
500,40,0.002,0.001,0.0007,3e-05,2,0.00224764,0.001093809,1.823853841,0.911876199,0.813451123,87.56919731
1000,30,0.005,0.001,0.001,3e-05,8,0.001469635,0.000410529,1.177675283,0.386492515,0.351402273,36.65148687
700,15,0.001,0.001,0.0007,4e-05,32,0.002495277,0.000742828,1.950865719,0.594065431,0.158745588,92.5617538
700,20,0.005,0.005,0.0007,3e-05,12,0.002274481,0.000672323,1.788396375,0.573130618,0.212852774,92.48664203
1000,20,0.002,0.005,0.001,3e-05,2,0.001661829,0.000780088,1.299438332,0.649653946,0.813451123,88.96639661
500,35,0.001,0.005,0.0007,3e-05,16,0.002437885,0.000759156,1.979540731,0.627455171,0.374476293,93.82373095
900,15,0.005,0.005,0.0007,4e-05,2,0.002314071,0.001109662,1.849650937,0.924755607,0.813451123,88.24003331
900,25,0.002,0.005,0.0007,4e-05,8,0.002086638,0.000587167,1.684050985,0.552983516,0.351402273,71.57620942
1000,25,0.001,0.005,0.0007,4e-05,2,0.002326494,0.00111253,1.85430313,0.927072061,0.813451123,88.14689926
1000,35,0.002,0.005,0.001,3e-05,10,0.001610424,0.00045094,1.234486412,0.399633218,0.5724306,92.06445089
700,15,0.005,0.005,0.001,3e-05,8,0.001481556,0.000410718,1.176934428,0.386541558,0.351402273,92.39986096
700,40,0.001,0.001,0.001,3e-05,32,0.001793416,0.000520864,1.365919203,0.4158352,0.158745588,92.52196613
800,20,0.002,0.002,0.0007,4e-05,32,0.00251331,0.000744809,1.955446921,0.595560916,0.158745588,92.12906661
900,15,0.001,0.001,0.001,4e-05,10,0.00160386,0.000450528,1.233669883,0.399125476,0.5724306,92.26066387
800,25,0.005,0.002,0.001,3e-05,12,0.001644354,0.000472767,1.255322762,0.40212009,0.212852774,92.19091774
600,30,0.001,0.005,0.001,4e-05,10,0.001569265,0.00044695,1.224514753,0.396693835,0.5724306,92.91679898
1000,15,0.001,0.005,0.001,3e-05,2,0.001661857,0.000780099,1.299456418,0.649663125,0.813451123,88.99148569
400,15,0.001,0.002,0.0007,3e-05,4,0.001443804,0.000483373,1.19907047,0.447954963,0.893443325,35.09920007
500,20,0.001,0.001,0.001,3e-05,4,0.001025542,0.000343138,0.851644296,0.316215701,0.893443325,9.899505708
400,35,0.001,0.002,0.0007,4e-05,12,0.002215437,0.00066635,1.77328324,0.56847499,0.212852774,93.56627773
500,35,0.002,0.002,0.001,4e-05,12,0.001597834,0.000468409,1.245034866,0.399116634,0.212852774,93.24219065
400,40,0.005,0.001,0.001,4e-05,2,0.001579328,0.000764632,1.274832373,0.637381361,0.813451123,88.79973305
800,25,0.002,0.002,0.001,4e-05,4,0.001003805,0.00033619,0.833671687,0.31179376,0.893443325,1.41954173
