Irradiance,AmbientTemp,rload,cload,Inductor,Capacitor,k_sc_star
800.0,25.0,0.002,0.002,0.0007,3e-05,11.696969696969697
600.0,20.0,0.001,0.005,0.001,3e-05,26.848484848484848
1000.0,15.0,0.002,0.001,0.001,4e-05,10.181818181818182
500.0,40.0,0.001,0.002,0.0007,3e-05,14.121212121212121
800.0,35.0,0.005,0.002,0.001,3e-05,8.363636363636363
900.0,35.0,0.002,0.002,0.001,3e-05,8.969696969696969
700.0,40.0,0.001,0.002,0.0007,4e-05,11.393939393939394
500.0,20.0,0.002,0.005,0.001,3e-05,15.030303030303031
500.0,15.0,0.002,0.001,0.001,3e-05,15.030303030303031
400.0,25.0,0.002,0.005,0.001,3e-05,15.333333333333334
600.0,40.0,0.005,0.005,0.001,3e-05,23.515151515151516
900.0,15.0,0.002,0.005,0.001,3e-05,21.6969696969697
1000.0,15.0,0.001,0.001,0.0007,3e-05,10.787878787878789
800.0,40.0,0.005,0.005,0.0007,3e-05,9.575757575757576
700.0,40.0,0.002,0.002,0.001,4e-05,31.6969696969697
800.0,15.0,0.001,0.001,0.0007,4e-05,11.393939393939394
500.0,15.0,0.005,0.001,0.0007,3e-05,17.151515151515152
700.0,20.0,0.002,0.005,0.001,4e-05,18.96969696969697
1000.0,20.0,0.005,0.005,0.001,4e-05,26.242424242424242
500.0,35.0,0.001,0.005,0.001,4e-05,15.636363636363637
900.0,25.0,0.005,0.005,0.0007,4e-05,9.575757575757576
400.0,25.0,0.005,0.001,0.0007,4e-05,21.6969696969697
900.0,35.0,0.005,0.005,0.001,3e-05,23.515151515151516
400.0,15.0,0.005,0.005,0.0007,3e-05,16.545454545454547
1000.0,35.0,0.001,0.005,0.0007,3e-05,9.878787878787879
700.0,15.0,0.002,0.005,0.0007,4e-05,11.393939393939394
600.0,20.0,0.001,0.005,0.0007,3e-05,32.0
700.0,30.0,0.001,0.005,0.001,3e-05,18.363636363636363
1000.0,20.0,0.005,0.001,0.001,4e-05,10.181818181818182
600.0,30.0,0.005,0.005,0.0007,4e-05,32.0
500.0,25.0,0.005,0.002,0.001,3e-05,15.030303030303031
900.0,35.0,0.001,0.001,0.001,3e-05,9.272727272727273
400.0,15.0,0.002,0.001,0.0007,3e-05,13.212121212121213
600.0,30.0,0.005,0.005,0.0007,4e-05,32.0
600.0,35.0,0.001,0.001,0.0007,3e-05,18.363636363636363
600.0,20.0,0.002,0.005,0.001,4e-05,26.242424242424242
700.0,20.0,0.005,0.001,0.0007,4e-05,32.0
900.0,30.0,0.005,0.005,0.001,3e-05,23.515151515151516
700.0,35.0,0.001,0.002,0.0007,4e-05,11.393939393939394
600.0,35.0,0.001,0.002,0.001,4e-05,15.636363636363637
600.0,25.0,0.001,0.002,0.001,4e-05,15.636363636363637
700.0,25.0,0.001,0.002,0.0007,3e-05,11.393939393939394
900.0,30.0,0.001,0.002,0.0007,3e-05,9.575757575757576
400.0,25.0,0.001,0.001,0.0007,4e-05,12.90909090909091
1000.0,20.0,0.001,0.002,0.001,4e-05,10.181818181818182
800.0,40.0,0.001,0.002,0.001,3e-05,8.969696969696969
500.0,40.0,0.002,0.005,0.0007,3e-05,16.242424242424242
1000.0,40.0,0.005,0.005,0.0007,3e-05,9.878787878787879
400.0,25.0,0.002,0.002,0.0007,4e-05,13.515151515151516
800.0,20.0,0.002,0.002,0.001,4e-05,8.969696969696969
500.0,15.0,0.005,0.001,0.0007,3e-05,17.151515151515152
1000.0,20.0,0.005,0.005,0.001,4e-05,26.242424242424242
700.0,35.0,0.001,0.002,0.0007,4e-05,11.393939393939394
400.0,35.0,0.001,0.002,0.001,3e-05,14.424242424242424
800.0,20.0,0.001,0.001,0.001,4e-05,8.969696969696969
500.0,15.0,0.001,0.001,0.001,4e-05,14.727272727272728
1000.0,40.0,0.002,0.005,0.001,3e-05,25.03030303030303
800.0,15.0,0.001,0.002,0.0007,4e-05,11.393939393939394
600.0,35.0,0.002,0.001,0.001,4e-05,15.636363636363637
500.0,40.0,0.001,0.002,0.0007,4e-05,14.121212121212121
500.0,20.0,0.001,0.001,0.001,4e-05,14.727272727272728
1000.0,15.0,0.002,0.005,0.0007,4e-05,9.878787878787879
900.0,35.0,0.001,0.001,0.0007,3e-05,9.575757575757576
1000.0,30.0,0.001,0.002,0.001,4e-05,10.181818181818182
800.0,15.0,0.001,0.001,0.001,4e-05,8.969696969696969
