Irradiance,AmbientTemp,rload,cload,fc,f_samp,Inductor,Capacitor,Vpv_avg,Ipv_avg,DutyCycleActual,Vout_avg,Iout_avg,P_out,VoltageRipple_pp,VoltageRipple_rms,CurrentRipple_pp,CurrentRipple_rms,dV,dP,Efficiency,P_in,Pmpp,TimeDelay,k_sc
1000,15,0.001,0.001,5000,80000,0.0007,3e-05,30.57237468,6.737127066,0.420724095,12.23950288,-15.34989394,188.2025321,0.00237445,0.000706961,1.834420315,0.577571026,-0.006187885,0.059211468,91.38371875,205.9475525,206.6271504,0.143697039,16
1000,15,0.001,0.001,5000,80000,0.0007,4e-05,30.57237463,6.737127093,0.420724095,12.23950286,-15.34989409,188.2023124,0.002373844,0.0007069,1.833915472,0.577562749,-0.006187885,0.059211466,91.38361183,205.9475529,206.6271509,0.143697039,16
1000,15,0.001,0.001,5000,80000,0.001,3e-05,30.57467245,6.735899834,0.420724095,12.23954139,-15.35257086,188.1372506,0.001714154,0.000496186,1.284061721,0.404283185,-0.006193991,0.059468169,91.36180672,205.9254926,206.5895118,0.143697039,16
1000,15,0.001,0.001,5000,80000,0.001,4e-05,30.57467244,6.735899838,0.420724095,12.23954137,-15.3525709,188.1370955,0.001713729,0.000496143,1.283707961,0.404277394,-0.006193991,0.059468169,91.36173139,205.9254927,206.5895118,0.143697039,16
1000,15,0.001,0.001,5000,160000,0.0007,3e-05,30.57026116,6.738010988,0.425359151,12.23987928,-15.3601226,188.2766909,0.002545148,0.000748777,1.965993757,0.598320162,-0.006668743,0.060329691,91.41510386,205.9579686,205.8729104,0.158745588,32
1000,15,0.001,0.001,5000,160000,0.0007,4e-05,30.57026121,6.738010963,0.425359151,12.23987926,-15.36012247,188.2765705,0.002544543,0.000748738,1.965489908,0.598317723,-0.006668743,0.060329693,91.41504561,205.9579681,205.8729099,0.158745588,32
1000,15,0.001,0.001,5000,160000,0.001,3e-05,30.57251455,6.736811351,0.425359151,12.23986989,-15.36033839,188.1978607,0.00183751,0.000525429,1.376242713,0.418810377,-0.006666482,0.060589798,91.38636887,205.9364685,205.8349858,0.158745588,32
1000,15,0.001,0.001,5000,160000,0.001,4e-05,30.57251461,6.736811315,0.425359151,12.23986988,-15.36033819,188.197775,0.001837086,0.000525402,1.375889598,0.418808668,-0.006666482,0.060589801,91.3863275,205.9364679,205.8349851,0.158745588,32
1000,15,0.001,0.002,5000,10000,0.0007,3e-05,26.89202663,7.655853462,0.257425743,12.22348032,-14.80956477,181.0804523,0.002321459,0.001110051,1.850169952,0.925004388,-0.004062038,-0.0398909,87.95231605,205.8848026,205.8448652,0.813451123,2
1000,15,0.001,0.002,5000,10000,0.0007,4e-05,26.89202667,7.655853459,0.257425743,12.22348034,-14.80956805,181.0804788,0.002320928,0.001109785,1.849726753,0.924782799,-0.004062038,-0.0398909,87.95232887,205.8848028,205.8448655,0.813451123,2
1000,15,0.001,0.002,5000,10000,0.001,3e-05,26.89969375,7.655283333,0.257425743,12.22637063,-14.95283341,182.8576894,0.001658054,0.000778234,1.29634757,0.648107562,-0.004026828,-0.03958794,88.79685167,205.9281224,205.8884878,0.813451123,2
1000,15,0.001,0.002,5000,10000,0.001,4e-05,26.89969377,7.655283332,0.257425743,12.22637064,-14.95283554,182.857706,0.001657682,0.000778048,1.296037032,0.647952301,-0.004026828,-0.039587941,88.79685968,205.9281225,205.8884879,0.813451123,2
1000,15,0.001,0.002,5000,20000,0.0007,3e-05,34.24530191,0.340796598,0.28358209,11.89562283,-0.471765401,3.585495991,0.001412667,0.000473842,1.173349401,0.441993549,-4.86e-05,0.005938295,1.466139776,244.5534901,255.5164537,0.893443325,4
1000,15,0.001,0.002,5000,20000,0.0007,4e-05,34.24530191,0.340796595,0.28358209,11.89562353,-0.471791304,3.586202301,0.001412156,0.000473682,1.172923492,0.441803904,-4.86e-05,0.005938295,1.466428591,244.5534902,255.5164538,0.893443325,4
1000,15,0.001,0.002,5000,20000,0.001,3e-05,34.26005657,0.252625962,0.28358209,11.89207778,-0.330335933,2.512304299,0.000987141,0.000331065,0.819895581,0.308648913,-3.34e-05,0.005516067,1.012589989,248.1067684,256.0576148,0.893443325,4
1000,15,0.001,0.002,5000,20000,0.001,4e-05,34.26005657,0.252625961,0.28358209,11.89207826,-0.330353675,2.512792956,0.000986784,0.000330953,0.819597662,0.308516314,-3.34e-05,0.005516067,1.012786943,248.1067684,256.0576148,0.893443325,4
1000,15,0.001,0.002,5000,40000,0.0007,3e-05,34.00340269,2.136209164,0.36159601,12.03137879,-5.556283806,66.35954219,0.002078166,0.000586472,1.682629275,0.55234901,-0.000573797,0.018263641,40.6256465,163.3439659,235.1510951,0.351402273,8
